Parcelle;Espèce;Plants;Age;Expected Productivity Rate (%);Expected Productive Plants;Expected Production per Plant (g);Expected Total Production (g)
A1;Chêne pubescent;69;2;0.788649077882565;0;0.1575;10.8675
A1;Chêne pubescent;165;4;2.9581762784537444;4;1.2462358711878865;205.62891874600126
A1;Chêne pubescent;53;4;2.9581762784537444;1;1.2462358711878865;66.05050117295798
A1;Chêne pubescent;511;7;5.746251538602492;29;2.4475908221797322;1250.718910133843
A2;Chêne pubescent;25;2;0.788649077882565;0;0.1575;3.9375
A2;Chêne pubescent;401;4;2.9581762784537444;11;1.2462358711878865;499.7405843463425
A2;Chêne pubescent;4;4;2.9581762784537444;0;1.2462358711878865;4.984943484751546
A2;Chêne vert;18;2;1.338565434699029;0;0.1575;2.835
A2;Chêne vert;7;3;1.548069485006238;0;0.10341269012432579;0.7238888308702806
A2;Chêne vert;472;4;3.5080926352702084;16;1.2462358711878865;588.2233312006824
B1;Chêne pubescent;220;2;0.788649077882565;1;0.1575;34.65
B1;Chêne pubescent;189;4;2.9581762784537444;5;1.2462358711878865;235.53857965451056
B1;Chêne pubescent;95;4;2.9581762784537444;2;1.2462358711878865;118.39240776284922
B1;Chêne pubescent;1195;7;5.746251538602492;68;2.4475908221797322;2924.87103250478
B2;Chêne pubescent;76;2;0.788649077882565;0;0.1575;11.97
B2;Chêne pubescent;108;4;2.9581762784537444;3;1.2462358711878865;134.59347408829174
B2;Chêne pubescent;52;4;2.9581762784537444;1;1.2462358711878865;64.8042653017701
B2;Chêne pubescent;927;7;5.746251538602492;53;2.4475908221797322;2268.916692160612
C;Chêne pubescent;53;2;0.788649077882565;0;0.1575;8.3475
C;Chêne pubescent;83;4;2.9581762784537444;2;1.2462358711878865;103.43757730859458
C;Chêne pubescent;1839;6;4.971622089722842;91;2.27239525909592;4178.9348814773975
D1;Chêne pubescent;75;2;0.788649077882565;0;0.1575;11.8125
D1;Chêne pubescent;69;3;0.998153128189774;0;0.10341269012432579;7.13547561857848
D1;Chêne pubescent;72;4;2.9581762784537444;2;1.2462358711878865;89.72898272552783
D1;Chêne pubescent;1261;6;4.971622089722842;62;2.27239525909592;2865.4904217199555
D2;Chêne pubescent;51;2;0.788649077882565;0;0.1575;8.0325
D2;Chêne pubescent;57;3;0.998153128189774;0;0.10341269012432579;5.89452333708657
D2;Chêne pubescent;46;4;2.9581762784537444;1;1.2462358711878865;57.32685007464278
D2;Chêne pubescent;1833;6;4.971622089722842;91;2.27239525909592;4165.300509922822
E1;Chêne pubescent;35;2;0.788649077882565;0;0.1575;5.5125
E1;Chêne pubescent;2602;4;2.9581762784537444;76;1.2462358711878865;3242.7057368308806
