Original_Espèce;Plants;Predicted_Total_Production;Avg_per_Plant
Chêne pubescent;38984;23441.822172455486;0.6013190583946102
Chêne vert;10413;10855.336649368392;1.0424792710427726
Charme;1852;6705.328354028167;3.6205876641620773
Chêne chevelu;1648;5029.381354510314;3.0518090743387827
Pin d'Alep;80;247.34433214913776;3.091804151864222
Bouleau blanc;132;99.14346646942992;0.7510868671926509
Chêne pédonculé;1100;13.026379559761917;0.011842163236147197
Tilleul;90;0.811704797766098;0.009018942197401089
Charme commun;1843;0.0;0.0
Noisetier collurna;16;0.0;0.0
Noisetier de Byzance/Collurna;16;0.0;0.0
Saule;16;0.0;0.0
Saule blanc;16;0.0;0.0
Tilleul à petites feuilles;90;0.0;0.0
