Parcelle;Espèce;Plants;Age;Expected Productivity Rate (%);Expected Productive Plants;Expected Production per Plant (g);Expected Total Production (g)
A1;Chêne pubescent;69;2;10.789919742081274;7;0.5;34.5
A1;Chêne pubescent;165;4;13.637424192830945;22;3.0;495.0
A1;Chêne pubescent;53;4;13.637424192830945;7;3.0;159.0
A1;Chêne pubescent;511;7;16.145721346537172;82;12.0;6132.0
A2;Chêne pubescent;25;2;10.789919742081274;2;0.5;12.5
A2;Chêne pubescent;401;4;13.637424192830945;54;3.0;1203.0
A2;Chêne pubescent;4;4;13.637424192830945;0;3.0;12.0
A2;Chêne vert;18;2;46.84709976249429;8;0.5;9.0
A2;Chêne vert;7;3;46.941248236150095;3;1.5;10.5
A2;Chêne vert;472;4;59.63352505589275;281;3.5999999999999996;1699.1999999999998
B1;Chêne pubescent;220;2;10.789919742081274;23;0.5;110.0
B1;Chêne pubescent;189;4;13.637424192830945;25;3.0;567.0
B1;Chêne pubescent;95;4;13.637424192830945;12;3.0;285.0
B1;Chêne pubescent;1195;7;16.145721346537172;192;12.0;14340.0
B2;Chêne pubescent;76;2;10.789919742081274;8;0.5;38.0
B2;Chêne pubescent;108;4;13.637424192830945;14;3.0;324.0
B2;Chêne pubescent;52;4;13.637424192830945;7;3.0;156.0
B2;Chêne pubescent;927;7;16.145721346537172;149;12.0;11124.0
C;Chêne pubescent;53;2;10.789919742081274;5;0.5;26.5
C;Chêne pubescent;83;4;13.637424192830945;11;3.0;249.0
C;Chêne pubescent;1839;6;33.549868384663064;616;8.0;14712.0
D1;Chêne pubescent;75;2;10.789919742081274;8;0.5;37.5
D1;Chêne pubescent;69;3;10.884068215737082;7;1.5;103.5
D1;Chêne pubescent;72;4;13.637424192830945;9;3.0;216.0
D1;Chêne pubescent;1261;6;33.549868384663064;423;8.0;10088.0
D2;Chêne pubescent;51;2;10.789919742081274;5;0.5;25.5
D2;Chêne pubescent;57;3;10.884068215737082;6;1.5;85.5
D2;Chêne pubescent;46;4;13.637424192830945;6;3.0;138.0
D2;Chêne pubescent;1833;6;33.549868384663064;614;8.0;14664.0
E1;Chêne pubescent;35;2;10.789919742081274;3;0.5;17.5
E1;Chêne pubescent;2602;4;13.637424192830945;354;3.0;7806.0
E1;Chêne pubescent;94;4;13.637424192830945;12;3.0;282.0
E2;Chêne pubescent;80;2;10.789919742081274;8;0.5;40.0
E2;Chêne pubescent;66;4;13.637424192830945;9;3.0;198.0
E2;Chêne pubescent;1518;6;33.549868384663064;509;8.0;12144.0
E2;Charme;45;2;2.561983519579303;1;0.5;22.5
E2;Charme;43;3;2.6561319932351113;1;1.5;64.5
