Parcelle;Espèce;Plants;Age;Expected Productivity Rate (%);Expected Productive Plants;Expected Production per Plant (g);Expected Total Production (g)
A1;Chêne pubescent;69;2;1.1498879485963334;0;0.05483443708609271;3.783576158940397
A1;Chêne pubescent;165;4;5.159076846804873;8;3.966124763705104;654.4105860113422
A1;Chêne pubescent;53;4;5.159076846804873;2;3.966124763705104;210.2046124763705
A1;Chêne pubescent;511;7;2.9058075107736503;14;33.6;17169.600000000002
A2;Chêne pubescent;25;2;1.1498879485963334;0;0.05483443708609271;1.3708609271523178
A2;Chêne pubescent;401;4;5.159076846804873;20;3.966124763705104;1590.4160302457467
A2;Chêne pubescent;4;4;5.159076846804873;0;3.966124763705104;15.864499054820415
A2;Chêne vert;18;2;2.1397373908659683;0;0.05483443708609271;0.9870198675496688
A2;Chêne vert;7;3;4.459160473492772;0;1.2818426103646832;8.972898272552783
A2;Chêne vert;472;4;6.148926289074509;29;3.966124763705104;1872.010888468809
B1;Chêne pubescent;220;2;1.1498879485963334;2;0.05483443708609271;12.063576158940396
B1;Chêne pubescent;189;4;5.159076846804873;9;3.966124763705104;749.5975803402646
B1;Chêne pubescent;95;4;5.159076846804873;4;3.966124763705104;376.78185255198485
B1;Chêne pubescent;1195;7;2.9058075107736503;34;33.6;40152.0
B2;Chêne pubescent;76;2;1.1498879485963334;0;0.05483443708609271;4.167417218543046
B2;Chêne pubescent;108;4;5.159076846804873;5;3.966124763705104;428.3414744801512
B2;Chêne pubescent;52;4;5.159076846804873;2;3.966124763705104;206.2384877126654
B2;Chêne pubescent;927;7;2.9058075107736503;26;33.6;31147.2
C;Chêne pubescent;53;2;1.1498879485963334;0;0.05483443708609271;2.9062251655629137
C;Chêne pubescent;83;4;5.159076846804873;4;3.966124763705104;329.18835538752364
C;Chêne pubescent;1839;6;5.475948754188117;100;10.73793499043977;19747.06244741874
D1;Chêne pubescent;75;2;1.1498879485963334;0;0.05483443708609271;4.112582781456953
D1;Chêne pubescent;69;3;3.4693110312231377;2;1.2818426103646832;88.44714011516314
D1;Chêne pubescent;72;4;5.159076846804873;3;3.966124763705104;285.5609829867675
D1;Chêne pubescent;1261;6;5.475948754188117;69;10.73793499043977;13540.53602294455
D2;Chêne pubescent;51;2;1.1498879485963334;0;0.05483443708609271;2.7965562913907283
D2;Chêne pubescent;57;3;3.4693110312231377;1;1.2818426103646832;73.06502879078694
D2;Chêne pubescent;46;4;5.159076846804873;2;3.966124763705104;182.44173913043477
D2;Chêne pubescent;1833;6;5.475948754188117;100;10.73793499043977;19682.6348374761
E1;Chêne pubescent;35;2;1.1498879485963334;0;0.05483443708609271;1.9192052980132448
E1;Chêne pubescent;2602;4;5.159076846804873;134;3.966124763705104;10319.85663516068
E1;Chêne pubescent;94;4;5.159076846804873;4;3.966124763705104;372.81572778827973
E2;Chêne pubescent;80;2;1.1498879485963334;0;0.05483443708609271;4.386754966887417
E2;Chêne pubescent;66;4;5.159076846804873;3;3.966124763705104;261.76423440453686
E2;Chêne pubescent;1518;6;5.475948754188117;83;10.73793499043977;16300.185315487572
E2;Charme;45;2;2.0081672936363764;0;0.05483443708609271;2.467549668874172
E2;Charme;43;3;4.32759037626318;1;1.2818426103646832;55.119232245681374
E2;Charme;495;6;6.33422809922816;31;10.73793499043977;5315.277820267686
F;Chêne pubescent;35;2;1.1498879485963334;0;0.05483443708609271;1.9192052980132448
F;Chêne pubescent;16;4;5.159076846804873;0;3.966124763705104;63.45799621928166
F;Chêne pubescent;1310;6;5.475948754188117;71;10.73793499043977;14066.6948374761
F;Chêne pubescent;56;6;5.475948754188117;3;10.73793499043977;601.3243594646272
