,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
A_mu,60.092,21.435,22.069,97.674,4.877,1.254,21.0,145.0,1.09
beta_mu,25.635,3.764,18.132,32.296,0.926,0.282,17.0,72.0,1.11
A[0],57.82,27.505,15.101,115.499,6.708,2.013,18.0,76.0,1.1
A[1],59.74,24.902,12.224,104.065,4.807,1.019,28.0,169.0,1.07
A[2],58.233,24.155,10.359,99.013,3.857,1.122,41.0,143.0,1.06
A[3],57.47,25.368,10.745,103.265,4.332,1.12,36.0,182.0,1.07
A[4],60.041,26.986,17.502,113.757,6.48,2.185,19.0,57.0,1.09
A[5],58.093,24.585,9.626,103.007,3.654,1.101,42.0,180.0,1.06
A[6],59.856,25.994,12.738,107.446,4.878,1.394,29.0,137.0,1.07
A[7],59.384,24.909,12.393,106.358,4.166,1.187,35.0,156.0,1.06
A[8],61.427,27.625,11.868,107.874,5.38,1.82,30.0,224.0,1.07
A[9],59.77,26.565,9.613,104.401,5.387,1.382,27.0,145.0,1.08
A[10],56.396,23.474,12.11,102.774,2.22,1.276,111.0,168.0,1.04
A[11],58.888,26.263,6.223,103.313,5.608,1.145,23.0,188.0,1.08
A[12],65.406,24.566,25.837,113.328,4.873,1.909,28.0,62.0,1.08
A[13],55.521,26.591,6.169,103.382,5.734,1.15,22.0,194.0,1.08
A[14],51.096,25.669,1.107,98.23,4.49,1.218,31.0,184.0,1.06
A[15],57.509,24.77,10.364,102.459,4.093,1.064,38.0,188.0,1.06
A[16],67.134,22.93,28.764,113.864,2.884,1.233,59.0,158.0,1.04
beta[0],27.167,5.004,17.478,36.386,0.769,0.264,44.0,274.0,1.06
beta[1],25.715,5.526,14.467,35.509,0.757,0.273,52.0,224.0,1.04
beta[2],26.427,4.937,16.516,35.424,0.481,0.215,105.0,344.0,1.04
beta[3],26.761,5.017,16.396,35.127,0.674,0.327,44.0,263.0,1.05
beta[4],26.286,4.84,16.333,34.749,0.719,0.227,48.0,282.0,1.05
beta[5],26.282,5.026,16.576,35.235,0.725,0.214,51.0,260.0,1.05
beta[6],26.213,5.071,16.972,36.188,0.819,0.224,38.0,265.0,1.05
beta[7],25.731,5.18,15.565,35.323,0.813,0.221,40.0,278.0,1.05
beta[8],25.991,4.965,16.695,35.543,0.806,0.227,38.0,234.0,1.05
beta[9],26.36,5.151,17.898,37.028,0.767,0.285,42.0,306.0,1.05
beta[10],26.48,5.069,16.619,35.13,0.789,0.198,40.0,342.0,1.06
beta[11],26.825,4.833,17.761,36.236,0.715,0.215,47.0,338.0,1.05
beta[12],23.194,5.163,14.755,33.095,1.338,0.31,16.0,82.0,1.09
beta[13],27.444,4.804,18.274,36.206,0.472,0.213,99.0,291.0,1.05
beta[14],28.527,5.083,18.956,38.607,0.458,0.345,120.0,330.0,1.05
beta[15],26.677,4.729,17.318,35.47,0.738,0.209,40.0,316.0,1.05
beta[16],19.06,7.434,9.206,32.281,2.292,0.788,13.0,76.0,1.12
A_sigma,12.56,6.232,3.113,23.834,0.6,0.285,89.0,87.0,1.0
beta_sigma,3.432,1.803,0.387,6.127,0.543,0.148,11.0,20.0,1.15
sigma,4.758,0.272,4.26,5.206,0.038,0.007,54.0,438.0,1.04
mu[0],0.001,0.008,-0.0,0.005,0.0,0.002,186.0,278.0,1.05
mu[1],0.001,0.008,-0.0,0.005,0.0,0.002,186.0,278.0,1.05
mu[2],1.386,0.792,0.112,2.837,0.049,0.028,225.0,818.0,1.01
mu[3],0.009,0.042,-0.0,0.024,0.001,0.005,184.0,427.0,1.03
mu[4],0.009,0.042,-0.0,0.024,0.001,0.005,184.0,427.0,1.03
mu[5],0.001,0.005,-0.0,0.001,0.0,0.001,136.0,418.0,1.03
mu[6],0.009,0.042,-0.0,0.024,0.001,0.005,184.0,427.0,1.03
mu[7],0.002,0.01,-0.0,0.008,0.0,0.002,157.0,383.0,1.03
mu[8],0.002,0.01,-0.0,0.008,0.0,0.002,157.0,383.0,1.03
mu[9],1.619,0.92,0.136,3.252,0.035,0.034,582.0,1236.0,1.02
