Age,A1,A2,B1,B2,C,D1,D2,E1,E2,F,G,H,I,J,K,L,LP
1,0.0024396402525429964,0.0025441939054596783,0.002239952433613721,0.002239952433613721,0.002239952433613721,0.002239952433613721,0.002166144686193049,0.002424328323559443,0.002307933092273816,0.0024883084137498025,0.005059274628292378,0.0037675325404769445,0.0022688596017654467,0.004235352497438503,0.0017940053222172676,0.0017729701280511253,0.001789536994846208
2,0.011670729449520507,0.011911259324835945,0.010920416688405082,0.010920416688405082,0.010920416688405082,0.010920416688405082,0.010687440638295211,0.011591888149057665,0.011126422068870679,0.012352284864995998,0.01932542373203503,0.015687018764267403,0.011401490915420379,0.01674388226236703,0.009068222925736108,0.008597183130913524,0.008724323639265655
3,0.033431187926247885,0.03362907963757004,0.03168293148611315,0.03168293148611315,0.03168293148611315,0.03168293148611315,0.031256952410493824,0.033194578102766645,0.03203823250742334,0.03627492923814688,0.047585190274256554,0.04093155550963694,0.0337591727792072,0.042192428674314934,0.02695647651356493,0.02485222027591735,0.02531113644167278
4,0.0678356454498057,0.06757523984344468,0.06484123128507864,0.06484123128507864,0.06484123128507864,0.06484123128507864,0.06431568519490194,0.06734085294436819,0.06523695952393882,0.07484760796401248,0.0872160253357804,0.0780026766069359,0.07004289258835093,0.07854283243130128,0.05607711613663334,0.05073768921655792,0.051800425055689235
5,0.10916396578459858,0.10803449925478427,0.10494786643337412,0.10494786643337412,0.10494786643337412,0.10494786643337412,0.10447575841973548,0.10835183924520601,0.10522922730580274,0.12181033021435857,0.13107247620407336,0.12033879527654318,0.1144154207144777,0.11927751391219911,0.09176552614091704,0.08198606965055924,0.08384030492025835
6,0.15031554246293088,0.14810618040114093,0.14507072784257646,0.14507072784257646,0.14507072784257646,0.14507072784257646,0.14477098695101073,0.14918256276020458,0.14512681614582548,0.16900248834348378,0.17237043596592286,0.16106792389294447,0.15913984550466476,0.15796476877936158,0.1277891361138847,0.1132053269704493,0.11589297702970501
7,0.18638530292573574,0.1831024454389284,0.18035085521636196,0.18035085521636196,0.18035085521636196,0.18035085521636196,0.18027376938369105,0.18496819402985637,0.1801429027075398,0.2106246422487434,0.20722456590847277,0.19594425142886326,0.1986665687518418,0.19080495949652732,0.15965753702102628,0.14063161434426819,0.1440768661632238
8,0.21538507859295847,0.21117032501439034,0.20877685754735803,0.20877685754735803,0.20877685754735803,0.20877685754735803,0.2089179752204905,0.21373795659339898,0.20832027714429055,0.24422938363673669,0.23453939982117525,0.22354574675004218,0.23062384012015036,0.2166422825194144,0.18544021128216273,0.16271605193673894,0.16678521231630675
9,0.2373792078260429,0.2324225272848525,0.23036715075423259,0.23036715075423259,0.23036715075423259,0.23036715075423259,0.2306939174835675,0.23555683175715808,0.2297033535097138,0.26978841116295277,0.25490118305483755,0.24425775887206763,0.2549526253773996,0.23595351337014162,0.20507714447353734,0.17948281894657575,0.18403276753122413
10,0.25341633096655586,0.2479014154542107,0.2461252324543146,0.2461252324543146,0.2461252324543146,0.2461252324543146,0.2465973064095286,0.25146577111466173,0.2453011584141754,0.28846056020514615,0.26957638328105954,0.259252061788447,0.27273725259371656,0.24989631043366534,0.21943631803810565,0.1917169449684116,0.19662120623540666
11,0.2648038421853815,0.2588842948786044,0.25732198388249583,0.25732198388249583,0.25732198388249583,0.25732198388249583,0.2579020007909669,0.26276207302234034,0.2563797044932885,0.3017362134973651,0.2799155243594319,0.2698477763811711,0.2853872712214575,0.25973121155316015,0.22965192980039334,0.20040815035507967,0.20556579202857195
12,0.27274668608972547,0.26654103746204033,0.26513523882216145,0.26513523882216145,0.26513523882216145,0.26513523882216145,0.26579278671882295,0.2706412089705324,0.26410844436852804,0.31100407579427936,0.28708920187115766,0.2772143410233778,0.29422090193029615,0.2665605265603767,0.23678656963745126,0.20647223178214172,0.21180745010425803
