Age,A1,A2,B1,B2,C,D1,D2,E1,E2,F,G,H,I,J,K,L,LP
1,3.157387024552382e-07,2.9146421248036254e-06,6.331718380523354e-07,1.914710056544406e-06,1.0651916820091491e-07,6.101246693732823e-07,3.6754125709340463e-07,8.03259476875348e-07,3.109805535500362e-06,1.0865430049665745e-06,8.714825586252815e-07,5.079063971347293e-07,8.777720717257764e-07,1.4432867874925294e-06,1.4516471659148146e-07,1.3863360525111937e-07,2.775885402389872e-07
2,0.00017897844805107597,0.0007552333517613609,0.00024054952721832057,0.0005522297948774843,8.884573801699717e-05,0.00026328879794401276,0.00018154447996162395,0.0003094562838476825,0.0007922621256014055,0.0003705327288865223,0.00031477686441858083,0.0002256458945034662,0.0003382622373160444,0.00048017508289492986,0.0001038844902464557,9.938376542476282e-05,0.00015930043103617848
3,0.01270967815762137,0.03168304844537993,0.01305233840047877,0.024896859674960324,0.008179935291528075,0.015563907640193981,0.0117520128446655,0.016949543300722514,0.032859876542969915,0.018697104924885764,0.016509570402172668,0.013602089165793209,0.018530984086954944,0.023830390430113636,0.00862857200037822,0.008264428628732336,0.011406249481262152
4,0.2233074693595511,0.39075225516773215,0.19137772389633959,0.32229228398471266,0.17113834082882337,0.24173262049116218,0.19402105297361763,0.25009260979125053,0.40217316562634425,0.2610800948942886,0.23660335822430395,0.21405820809713935,0.2734634864993903,0.32906266593235006,0.16844762668552177,0.1614660239468646,0.20152399268051055
5,1.5340513346945286,2.115922896686824,1.1641351071120813,1.802970380319001,1.3221125308917743,1.5285000416500414,1.27823325875891,1.5277595215591069,2.1665775255934134,1.5368419289047475,1.4173087102681603,1.3655293558873762,1.6706769772139036,1.9225240577706753,1.2421299817829459,1.1912789882421924,1.3895919538262624
6,5.6048665675989975,6.587859925096584,3.919326352774981,5.737735889216134,5.227257342145196,5.28179364895435,4.540618744634768,5.158240970725155,6.722248154328256,5.061178492945293,4.7226838876614385,4.746770031278873,5.64111999780646,6.299423521774396,4.75968293033896,4.5664554623551945,5.089844553310671
7,13.394333531819,14.137864357643423,8.865162571135034,12.496041609235567,13.172808323812394,12.157932982664718,10.64766259717097,11.689870043991831,14.392711443943117,11.27929444625084,10.608391345432826,10.970135563143529,12.784714257040786,13.991243252415147,11.744704251893332,11.270608069141405,12.184128344116132
8,24.060998162930275,23.62468190456316,15.346976545977125,21.088839082212644,24.52268241890197,21.296482292725624,18.885230086801403,20.26309305876848,24.0129084547407,19.332351418101563,18.27926535983684,19.267572450266712,22.161488974907893,23.925854981476636,21.556884685705132,20.690035060806935,21.911927782137724
9,35.67449316440004,33.364987296431806,22.195823627572192,29.98247764736695,37.24189790884471,31.04512637238127,27.762077403468236,29.331255392873885,33.877592844460956,27.772790157495912,26.35386681182008,28.138252659281935,32.079812350478626,34.31907631300325,32.427815669810286,31.12719353825873,32.512969205908036
10,46.49022151063916,42.08186803509896,28.445686115078935,37.98521549681544,49.32208241039208,39.99904064466111,35.97147756081794,37.61221663149624,42.69816152437736,35.432815352484596,33.70335855626996,36.29783993459187,41.13726892032224,43.73946525585365,42.67258970158906,40.96405115181767,42.39196770682527
11,55.5502399210783,49.18944693184463,33.60936323396013,44.53463996177757,59.57666205350937,47.42936102512927,42.815732879801004,44.457290884205555,49.88608368372702,41.7380708945717,39.76499713505003,43.07578099363634,48.62427339118532,51.48714145428876,51.323437826578235,49.27094653876224,50.670819687308686
12,62.61465143573761,54.63144044476937,37.598357756548154,49.561797330832604,67.6446292856896,53.18640080570472,48.13537570099872,49.746899532085166,55.38742172184048,46.59672077115257,44.442175167240336,48.3309089055262,54.40998065783453,57.453846860519064,58.105454589560054,55.78357819731851,57.12797541195176
