Parcelle,Espèce,Pente,R²,P-value,Statut
A1,Chêne pubescent,,,,Série trop courte
A2,Chêne pubescent,,,,Série trop courte
A2,Chêne vert,,,,Série trop courte
B1,Chêne pubescent,,,,Série trop courte
B2,Chêne pubescent,,,,Série trop courte
C,Chêne pubescent,,,,Série trop courte
D1,Chêne pubescent,,,,Série trop courte
D2,Chêne pubescent,,,,Série trop courte
E1,Chêne pubescent,,,,Série trop courte
E2,Charme commun,,,,Série trop courte
E2,Chêne pubescent,,,,Série trop courte
F,Chêne pubescent,,,,Série trop courte
G,Chêne vert,,,,Série trop courte
H,Chêne pubescent,,,,Série trop courte
H,Chêne pédonculé,,,,Série trop courte
I,Charme commun,,,,Série trop courte
I,Chêne chevelu,,,,Série trop courte
I,Chêne pubescent,,,,Série trop courte
I,Chêne vert,,,,Série trop courte
J,Chêne chevelu,,,,Série trop courte
J,Chêne pubescent,,,,Série trop courte
J,Chêne vert,,,,Série trop courte
K,Charme commun,,,,Série trop courte
K,Chêne pubescent,,,,Série trop courte
K,Chêne vert,,,,Série trop courte
L,Chêne vert,,,,Série trop courte
LP,Bouleau blanc,,,,Série trop courte
LP,Charme commun,,,,Série trop courte
LP,Chêne chevelu,,,,Série trop courte
LP,Chêne pubescent,,,,Série trop courte
LP,Chêne pédonculé,,,,Série trop courte
LP,Chêne vert,,,,Série trop courte
LP,Noisetier de Byzance/Collurna,,,,Série trop courte
LP,Pin d'Alep,,,,Série trop courte
LP,Saule blanc,,,,Série trop courte
LP,Tilleul à petites feuilles,,,,Série trop courte
