Saison,Parcelle,Espèce,Age,Pénalité,Dates plantation,Plants,Plants Productifs,Taux de Productivité (%),Poids produit (g),Nombre de truffe,Poids moyen (g),Production au plant (g),Plants Non-Productifs à Nouveau,Expected_Production,State_Space_Forecast,Total_Expected_Production,Total_State_Space_Forecast
2025 - 2026,A1,Chêne pubescent,3,-1: planted outside October -> March,12/05/2020,180,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,89.35234915823911,8.93523491582391
2025 - 2026,A1,Chêne pubescent,3,,10/10/2021,69,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,34.25173384399166,3.4251733843991654
2025 - 2026,A1,Chêne pubescent,6,,12/03/2019,549,0,0.0,0,0,0,0,0,18.81103507739222,1.881103507739222,10000.0,1032.725825748833
2025 - 2026,A2,Chêne pubescent,3,-1: planted outside October -> March,05/05/2020,426,1,0.23,13,1,13,0,0,0.496401939767995,0.99280387953599,211.46722634116588,422.93445268233177
2025 - 2026,A2,Chêne pubescent,3,,10/10/2021,4,0,0.0,0,0,0,0,0,0.496401939767995,0.99280387953599,1.98560775907198,3.97121551814396
2025 - 2026,A2,Chêne vert,2,-1: planted outside November -> March,10/10/2021,11,0,0.0,0,0,0,0,0,0.03896631513742556,0.07793263027485112,0.42862946651168116,0.8572589330233623
2025 - 2026,A2,Chêne vert,3,-1: planted outside November -> March,05/05/2020,486,1,0.21,13,1,13,0,0,0.496401939767995,0.99280387953599,241.25134272724557,482.50268545449114
2025 - 2026,B1,Chêne pubescent,3,,10/10/2021,178,0,0.0,0,0,0,0,0,0.496401939767995,0.13194434482890013,88.35954527870311,23.486093379544222
2025 - 2026,B1,Chêne pubescent,3,-1: planted outside October -> March,04/05/2020,221,0,0.0,0,0,0,0,0,0.496401939767995,0.13194434482890013,109.70482868872689,29.15970020718693
2025 - 2026,B1,Chêne pubescent,6,,20/02/2019,1300,4,0.31,90,4,22,0,0,18.81103507739222,5.0,10000.0,6500.0
2025 - 2026,B2,Chêne pubescent,3,-1: planted outside October -> March,05/05/2020,117,0,0.0,0,0,0,0,0,0.496401939767995,0.07916660689734008,58.079026952855415,9.26249300698879
2025 - 2026,B2,Chêne pubescent,3,,10/10/2021,89,0,0.0,0,0,0,0,0,0.496401939767995,0.07916660689734008,44.179772639351555,7.045828013863267
2025 - 2026,B2,Chêne pubescent,6,,06/03/2019,957,6,0.63,364,7,52,0,0,18.81103507739222,3.0,10000.0,2871.0
2025 - 2026,C,Chêne pubescent,3,,10/10/2021,94,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,46.66178233819153,4.666178233819153
2025 - 2026,C,Chêne pubescent,5,,24/01/2020,1881,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,10000.0,1632.621400631291
2025 - 2026,D1,Chêne pubescent,2,,13/02/2023,72,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,2.80557468989464,0.28055746898946404
2025 - 2026,D1,Chêne pubescent,3,,10/10/2021,78,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,38.719351301903615,3.8719351301903613
2025 - 2026,D1,Chêne pubescent,5,,02/03/2020,1327,1,0.08,25,1,25,0,0,8.679539609948383,0.8679539609948383,10000.0,1151.7749062401506
2025 - 2026,D2,Chêne pubescent,2,,13/02/2023,57,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,2.2210799628332567,0.2221079962833257
