Age,A1,A2,B1,B2,C,D1,D2,E1,E2,F,G,H,I,J,K,L,LP
1,0.04816821143531377,0.04577848184233862,0.057993703253098314,0.038138767444562786,0.038138767444562786,0.035663681360468096,0.037253223019614735,0.04796816410980523,0.048255895979090774,0.042768462062968714,0.04917517184294673,0.0650427999791766,0.07713849195673876,0.07601889521842645,0.05554280435002244,0.05671460116281201,0.04269414852906105
2,0.12372438715429561,0.11870368201601793,0.14535993871890315,0.1083158733470277,0.1083158733470277,0.10325027178680092,0.1112724972541433,0.13275572545892697,0.14015217882133885,0.1304732241473879,0.14292924943189905,0.17396719121348103,0.1908065945334707,0.1909339088020271,0.15303492147927028,0.15626899450537152,0.13464922449461725
3,0.23330229697937283,0.22526305563662846,0.26962527901886546,0.2185201352282094,0.2185201352282094,0.21100744818473138,0.2322260610187612,0.2632116719732627,0.28703660218048466,0.27619297397848097,0.29287180690175785,0.3370906581719093,0.3507912730716191,0.35465204377271836,0.30251002922107223,0.30891021237206595,0.2914757932212562
4,0.35738035315753763,0.3465442912782768,0.4084757986871456,0.3502896716740625,0.3502896716740625,0.3411958579027782,0.38084349855228883,0.4170291123328111,0.4648032017934427,0.45729392048102596,0.4744130892594113,0.5258995418397064,0.5282735436405752,0.5377915565250986,0.47832728254491336,0.4884549440516017,0.489905365176436
5,0.47605834083412635,0.46295301044692766,0.5400879666281266,0.4810815174779476,0.4810815174779476,0.47133529477405944,0.5311217572251893,0.5682581995635158,0.642711590566555,0.6418468381900275,0.6561493453060178,0.7092083345846185,0.6956836835998605,0.7115165196479499,0.6509019873139367,0.6646906549952583,0.6946029486465984
6,0.5772836214943748,0.5624779756825629,0.6516597959108615,0.5954763249215212,0.5954763249215212,0.5857066350169386,0.6642251385513886,0.6996767347171745,0.7991885449408968,0.8061715372185385,0.816022987208653,0.8671502199228104,0.8371337024314418,0.8588649127350982,0.8007028422410046,0.8176707282537212,0.878381759347837
7,0.6571818695274034,0.6411598865163074,0.7393608812625642,0.6873155108423223,0.6873155108423223,0.6778252370976927,0.7719977596797538,0.8047233571240734,0.9252883141525451,0.9396990020427181,0.9448763574047505,0.9926712301647505,0.9480721832583693,0.9747286783926044,0.9203527659902687,0.939860700439994,1.0285573435839663
8,0.7170297241849287,0.7001602766875069,0.8048702384558384,0.7569004359643654,0.7569004359643654,0.7477748194619863,0.8541258178443358,0.884081120167221,1.0210760439988227,1.0416987379200646,1.0427641423453256,1.087127837093997,1.0308140628290756,1.0612948944490972,1.0106966664143706,1.0321228797364133,1.1437096362158763
9,0.7603038213934642,0.7428526362129889,0.8521489180183118,0.8076051536923411,0.8076051536923411,0.7988205211996477,0.9142027018824863,0.9417922965033401,1.09099425591713,1.1164329842610976,1.1142193629672674,1.155639229156919,1.0904689261532838,1.1237804245469953,1.0763747448444894,1.099195686129176,1.2282963619801912
10,0.7908585719140644,0.7730114031260898,0.885488918826597,0.8435931585985271,0.8435931585985271,0.8350865678985693,0.956954083545294,0.9826984167237556,1.140676705834825,1.1696728736094604,1.164995950946505,1.2041148464717057,1.1325075804840605,1.1678487152426995,1.1229171167979233,1.1467265096723007,1.2886587984708493
11,0.8120898304614305,0.7939744178083468,0.9086357802114816,0.8686874594810229,0.8686874594810229,0.8603916705614222,0.9868168762073731,1.0111964246320817,1.1753471275432845,1.2068894990725887,1.2004308324147774,1.23784612006199,1.1616801848687064,1.198446077880472,1.155336684378116,1.179834633726709,1.330903236824628
12,0.8266844640259549,0.8083878536473696,0.9245380928809168,0.8859782772519985,0.8859782772519985,0.8778355891270561,1.0074176831071207,1.0308206155059165,1.1992487580014222,1.23257605386257,1.2248599075152145,1.2610554308281565,1.1817160796666777,1.2194680385576893,1.1776589900441599,1.2026310596674952,1.360082669665012
