Age,A1,A2,B1,B2,C,D1,D2,E1,E2,F,G,H,I,J,K,L,LP
1,4.263626882183712e-05,4.052099091756166e-05,5.133333890118611e-05,3.375866972938429e-05,3.375866972938429e-05,3.156783821428089e-05,3.297482683734608e-05,4.24591961987665e-05,4.271388311700391e-05,3.7856660882293326e-05,4.352758351577052e-05,5.757287269346357e-05,6.827941876138318e-05,6.72884036066926e-05,4.916391675797408e-05,5.020113699982927e-05,3.779088198549865e-05
2,0.004821087645577541,0.004625449097099204,0.005664146097936695,0.004220674119501319,0.004220674119501319,0.004023286121377945,0.004335882958430042,0.005173005925594479,0.005461218708432064,0.005084065182971505,0.005569431010949043,0.006778866281626352,0.007435036347788454,0.007439997320005496,0.005963212154492563,0.006089232172612255,0.005246788669787789
3,0.11581176082834192,0.11182106417562296,0.13384256705268785,0.10847386401628026,0.10847386401628026,0.10474455004756959,0.11527751498816387,0.13065883875327045,0.14248558523041585,0.13710278492325495,0.14538219337493083,0.16733252602791612,0.17413354066218995,0.17605003552245405,0.15016662761542832,0.1533436922647575,0.1446892091884372
4,0.9817986796870615,0.9520297482053247,1.1221685699615773,0.9623190925831542,0.9623190925831542,0.9373364815496057,1.0462568541959374,1.1456663139479735,1.2769117434778492,1.2562821749724995,1.303312117036913,1.4447561855719888,1.451278065728731,1.4774260405703983,1.314065225778881,1.3418880330701397,1.345872643675538
5,4.131967426719131,4.018219186994107,4.687715127016242,4.1755662894857375,4.1755662894857375,4.0909735593689724,4.609892553570378,4.932219791482725,5.578440979193271,5.5709353263236485,5.6950745093913,6.1556021308792035,6.038214381241526,6.17563611553708,5.6495298556381,5.769209148762653,6.028834098950974
6,10.859302385229217,10.580792864271613,12.258395202299635,11.20152596539726,11.20152596539726,11.017747987062883,12.494762301983284,13.161643516812713,15.033563657771492,15.164920969625125,15.350236939786699,16.311993101733222,15.747351341853552,16.156137898578535,15.062049157222246,15.381232654188972,16.52326998250157
7,20.7948508434524,20.287875891188936,23.395196913139177,21.74835337535343,21.74835337535343,21.448057770538554,24.42790802424972,25.46342642360373,29.278398221528192,29.734387832810672,29.898212091374646,31.410559428103085,29.99933588225987,30.84281295615459,29.12222533754553,29.739504367835288,32.54608432692668
8,32.1859030888553,31.428670321508378,36.12887251430347,33.97561252785432,33.97561252785432,33.56598347278898,38.33984822606451,39.684476523946735,45.833880367868616,46.759588195022836,46.807411879906844,48.79880154156616,46.27099883001362,47.63921699377932,45.3679727077147,46.329748771222135,51.3386353053617
9,43.17373774446923,42.18277482791945,48.38914769404586,45.859736759827136,45.859736759827136,45.36090272960225,51.91286244493804,53.4795334113602,61.95194415748259,63.39647850700401,63.27077835593777,65.62279920597844,61.922113386131095,63.81370179468276,61.12177742775902,62.41766113422419,69.74862352713973
10,52.59957460709434,51.41256909242126,58.89338764685721,56.106923360956095,56.106923360956095,55.54115462800612,63.64649698514462,65.35873861951553,75.86578893103666,77.79430832040161,77.4832487311424,80.08502525199991,75.32246483539932,77.67298453696537,74.68460829809871,76.26815810247703,85.70799763756162
11,60.06836859408367,58.72841426432552,67.20964469226699,64.25476166782572,64.25476166782572,63.64114173575719,72.99251589101388,74.79581356326845,86.93765373610431,89.270768532379,88.7930361992364,91.56055674332374,85.9267422342766,88.64622858945793,85.4575284707832,87.2695839800048,98.44377209749793
12,65.6775167013899,64.22390775382823,73.45168402045978,70.38822626217863,70.38822626217863,69.7413149452347,80.03621041252096,81.89550080730835,95.27659434795741,97.9243446393721,97.31132074373625,100.18694281037601,93.88367743194033,96.88295347796598,93.56135424451244,95.54530772510356,108.05434980255085
