,Saison,Parcelle,Espece,Age,Penalite,Dates plantation,Plants,Plants Productifs,Taux de Productivité (%),Poids produit (g),Nombre de truffe,Poids moyen (g),Production au plant (g),Plants Non-Productifs à Nouveau,Expected_Production,State_Space_Forecast,Total_Expected_Production,Total_State_Space_Forecast
82,2025 - 2026,A1,Chêne pubescent,2,,01/03/2024,69,1,1.45,157,4,39,2,0,0.038966,22.514227,2.688676,1553.481697
83,2025 - 2026,A1,Chêne pubescent,4,-1: planted outside October -> March,12/05/2020,165,1,0.61,44,1,44,0,0,2.747209,1587.301429,453.28948,261904.735722
84,2025 - 2026,A1,Chêne pubescent,4,,10/10/2021,53,0,0.0,0,0,0,0,0,2.747209,1587.301429,145.602075,84126.975717
85,2025 - 2026,A1,Chêne pubescent,7,,12/03/2019,511,7,1.37,303,9,33,0,0,31.642461,18282.600029,16169.297321,9342408.615065
86,2025 - 2026,A2,Chêne pubescent,2,,01/03/2024,25,1,4.0,31,1,31,1,0,0.038966,17.680026,0.974158,442.000643
87,2025 - 2026,A2,Chêne pubescent,4,-1: planted outside October -> March,05/05/2020,401,10,2.49,828,22,37,2,0,2.747209,1246.479815,1101.630797,499838.405753
88,2025 - 2026,A2,Chêne pubescent,4,,10/10/2021,4,0,0.0,0,0,0,0,0,2.747209,1246.479815,10.988836,4985.919259
89,2025 - 2026,A2,Chêne vert,2,,01/03/2024,18,0,0.0,0,0,0,0,0,0.038966,0.941735,0.701394,16.95123
90,2025 - 2026,A2,Chêne vert,3,-1: planted outside November -> March,10/10/2021,7,0,0.0,0,0,0,0,0,0.496402,11.997005,3.474814,83.979035
91,2025 - 2026,A2,Chêne vert,4,-1: planted outside November -> March,05/05/2020,472,46,9.75,2942,78,37,6,1,2.747209,66.394341,1296.682633,31338.128907
92,2025 - 2026,B1,Chêne pubescent,2,,01/03/2024,220,3,1.36,128,4,32,0,0,0.038966,0.020715,8.572589,4.557212
93,2025 - 2026,B1,Chêne pubescent,4,-1: planted outside October -> March,04/05/2020,189,3,1.59,169,5,33,0,0,2.747209,1.460424,519.222495,276.020099
94,2025 - 2026,B1,Chêne pubescent,4,,10/10/2021,95,0,0.0,0,0,0,0,0,2.747209,1.460424,260.984852,138.740261
95,2025 - 2026,B1,Chêne pubescent,7,,20/02/2019,1195,112,9.37,6396,190,33,5,1,31.642461,16.821219,37812.740311,20101.356208
96,2025 - 2026,B2,Chêne pubescent,2,,01/03/2024,76,1,1.32,57,2,28,0,0,0.038966,0.012425,2.96144,0.944272
97,2025 - 2026,B2,Chêne pubescent,4,-1: planted outside October -> March,05/05/2020,108,1,0.93,17,1,17,0,0,2.747209,0.875963,296.698569,94.604014
98,2025 - 2026,B2,Chêne pubescent,4,,10/10/2021,52,0,0.0,0,0,0,0,0,2.747209,0.875963,142.854866,45.550081
99,2025 - 2026,B2,Chêne pubescent,7,,06/03/2019,927,78,8.41,3556,110,32,3,4,31.642461,10.089377,29332.560894,9352.852636
100,2025 - 2026,C,Chêne pubescent,2,,01/03/2024,53,0,0.0,0,0,0,0,0,0.038966,0.0,2.065215,0.0
101,2025 - 2026,C,Chêne pubescent,4,,10/10/2021,83,0,0.0,0,0,0,0,0,2.747209,0.0,228.018344,0.0
102,2025 - 2026,C,Chêne pubescent,6,,24/01/2020,1839,41,2.23,1498,56,26,0,0,18.811035,0.0,34593.493507,0.0
103,2025 - 2026,D1,Chêne pubescent,2,,01/03/2024,75,0,0.0,0,0,0,0,0,0.038966,0.0,2.922474,0.0
