Parcel,Gompertz Model (g),State-Space Model (g),Difference (%)
A1,5.92148127719466,5.92148127719466,0.0
A2,0.8198817262321546,1.199037984630431,46.24523833952558
B1,5.996241295355594,5.996241295355594,0.0
B2,5.86993536996166,5.86993536996166,0.0
C,5.793355829049768,5.793355829049768,0.0
D1,5.793285213819192,5.793285213819192,0.0
D2,5.766486350059717,5.766486350059717,0.0
E1,2.5038613517565915,2.5038613517565915,0.0
E2,9.771332305062995,9.771332305062995,0.0
F,6.188129888212455,6.188129888212455,0.0
G,6.064236137540865,6.064236137540865,0.0
H,9.37656623859624,9.37656623859624,0.0
I,11.503871327206937,13.916398473372446,20.97143715837488
J,12.388618547987317,12.388618547987317,0.0
K,17.03976622711414,17.03976622711414,0.0
L,5.798245371357057,4.647567563272703,-19.845276189390418
LP,1.7376521734601,1.7376521734601,0.0
TOTAL,118.33294662996745,119.97395222644687,1.3867698246464837
