KPI;Quartile;Projected_Value_2025_2026
Plants Productifs;All Parcels;20.843387158785085
Plants Productifs;Q1 (0-25%);3.278627450980392
Plants Productifs;Q2 (25-50%);7.888888888888889
Plants Productifs;Q3 (50-75%);26.638888888888886
Plants Productifs;Q4 (75-100%);49.95833333333333
Taux de Productivité (%);All Parcels;3.132563052672049
Taux de Productivité (%);Q1 (0-25%);0.5759333333333333
Taux de Productivité (%);Q2 (25-50%);1.8290277777777777
Taux de Productivité (%);Q3 (50-75%);3.888541666666667
Taux de Productivité (%);Q4 (75-100%);6.875906862745098
Poids produit (g);All Parcels;1135.6128219915418
Poids produit (g);Q1 (0-25%);155.69666666666666
Poids produit (g);Q2 (25-50%);506.62254901960785
Poids produit (g);Q3 (50-75%);1324.125
Poids produit (g);Q4 (75-100%);2800.9861111111113
Nombre de truffe;All Parcels;33.36468665897732
Nombre de truffe;Q1 (0-25%);5.436666666666667
Nombre de truffe;Q2 (25-50%);14.712418300653596
Nombre de truffe;Q3 (50-75%);42.91666666666667
Nombre de truffe;Q4 (75-100%);77.375
Poids moyen (g);All Parcels;18.252638023836983
Poids moyen (g);Q1 (0-25%);10.616413725490197
Poids moyen (g);Q2 (25-50%);14.613749999999998
Poids moyen (g);Q3 (50-75%);18.794444444444444
Poids moyen (g);Q4 (75-100%);30.894999999999996
Production au plant (g);All Parcels;1.9424978854286814
Production au plant (g);Q1 (0-25%);0.21196666666666666
Production au plant (g);Q2 (25-50%);0.8426388888888888
Production au plant (g);Q3 (50-75%);2.116458333333333
Production au plant (g);Q4 (75-100%);5.03156045751634
