Plants;Age;Age Brut;Dates de plantation;Plants Productifs;Taux de Productivité (%);Poids produit (g);Nombre de truffe;Poids moyen (g);Production au plant (g);Season;Plant_Productivity;Prod_per_Plant;Age_Squared;Is_Recent_Season;Original_Parcelle;Original_Espèce;Species_Bouleau blanc;Species_Charme;Species_Charme commun;Species_Chêne chevelu;Species_Chêne pubescent;Species_Chêne pédonculé;Species_Chêne vert;Species_Noisetier collurna;Species_Noisetier de Byzance/Collurna;Species_Pin d'Alep;Species_Saule;Species_Saule blanc;Species_Tilleul;Species_Tilleul à petites feuilles;Parcelle_A1;Parcelle_A2;Parcelle_B1;Parcelle_B2;Parcelle_C;Parcelle_D1;Parcelle_D2;Parcelle_E1;Parcelle_E2;Parcelle_F;Parcelle_G;Parcelle_H;Parcelle_I;Parcelle_J;Parcelle_K;Parcelle_L;Parcelle_LP;Predicted_Prod_per_Plant;Predicted_Total_Production
69;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;A1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
180;3;3;12/05/2020;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;A1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
549;6;5;12/03/2019;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;36;1;A1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
426;3;3;05/05/2020;1;0.23;13;1;13.0;0.03;2025-2026;0.2347417840375587;0.03051643192488263;9;1;A2;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
4;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;A2;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
11;2;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;4;1;A2;Chêne vert;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
486;3;3;05/05/2020;1;0.21;13;1;13.0;0.03;2025-2026;0.205761316872428;0.026748971193415638;9;1;A2;Chêne vert;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
178;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;B1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
221;3;3;04/05/2020;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;B1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
1300;6;5;20/02/2019;4;0.31;90;4;22.5;0.07;2025-2026;0.3076923076923077;0.06923076923076923;36;1;B1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
117;3;3;05/05/2020;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;B2;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
89;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;B2;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
957;6;5;06/03/2019;6;0.63;364;7;52.0;0.38;2025-2026;0.6269592476489028;0.38035527690700105;36;1;B2;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
94;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;C;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
1881;5;4;24/01/2020;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;25;1;C;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
72;2;1;13/02/2023;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;4;1;D1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;0.28248847958007206;20.339170529765187
78;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;D1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;0.16258341405861831;12.681506296572229
1327;5;4;02/03/2020;1;0.08;25;1;25.0;0.02;2025-2026;0.07535795026375283;0.018839487565938208;25;1;D1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;0.0;0.0
57;2;1;13/02/2023;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;4;1;D2;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;0.2444790180016242;13.93530402609258
48;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;D2;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;0.12457395248017067;5.979549719048192
1882;5;4;21/01/2020;1;0.05;32;2;16.0;0.02;2025-2026;0.053134962805526036;0.01700318809776833;25;1;D2;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;0.0;0.0
2631;3;3;21/04/2020;6;0.23;176;10;17.6;0.07;2025-2026;0.22805017103762829;0.0668947168377043;9;1;E1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;0.0;0.0
100;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;E1;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;0.0;0.0
48;2;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;4;1;E2;Charme commun;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;0.0;0.0
535;5;4;04/03/2020;1;0.19;14;1;14.0;0.03;2025-2026;0.1869158878504673;0.026168224299065422;25;1;E2;Charme commun;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;0.0;0.0
71;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;E2;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;0.16249003640009596;11.536792584406813
1593;5;4;04/03/2020;1;0.06;58;1;58.0;0.04;2025-2026;0.06277463904582549;0.03640929064657878;25;1;E2;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;0.0;0.0
26;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;F;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;0.11916291941810442;3.098235904870715
1328;5;5;11/04/2018;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;25;1;F;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;0.0;0.0
63;5;4;22/11/2019;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;25;1;F;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;0.0;0.0
12;2;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;4;1;G;Chêne vert;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;0.0;0.0
1696;5;5;23/04/2018;3;0.18;30;3;10.0;0.02;2025-2026;0.1768867924528302;0.01768867924528302;25;1;G;Chêne vert;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;0.0;0.0
45;5;4;27/11/2019;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;25;1;G;Chêne vert;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;0.0;0.0
22;3;2;10/10/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;9;1;H;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;0.19947419269452948;4.388432239279648
